ingredient_token,count
glycerin,4087
phenoxyethanol,3802
caprylyl glycol,2713
tocopherol,2660
limonene,2464
dimethicone,2338
ethylhexylglycerin,2326
silica,2308
linalool,2255
butylene glycol,2211
citric acid,2135
mica,1959
potassium sorbate,1779
caprylic/capric triglyceride,1775
water,1768
sodium benzoate,1649
tocopheryl acetate,1633
citronellol,1609
propanediol,1553
geraniol,1536
sodium hyaluronate,1508
citral,1304
xanthan gum,1289
benzyl alcohol,1278
sodium hydroxide,1240
disodium edta,1233
ci 77492,1128
cetearyl alcohol,1128
panthenol,1068
titanium dioxide (ci 77891),1028
benzyl salicylate,1021
squalane,1020
aqua/water/eau,1017
talc,1000
1,997
tin oxide,991
pentylene glycol,986
water/aqua/eau,982
bht,979
synthetic fluorphlogopite,941
alcohol denat.,932
iron oxides (ci 77491,930
zinc stearate,885
benzyl benzoate,881
2-hexanediol,881
alcohol,864
hexyl cinnamal,858
coumarin,840
glyceryl stearate,839
hydroxycitronellal,838
sodium chloride,834
helianthus annuus (sunflower) seed oil,824
fragrance,807
parfum (fragrance),792
ci 77499),785
alpha-isomethyl ionone,737
pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,730
carbomer,707
fragrance (parfum),693
cetyl alcohol,693
butyrospermum parkii (shea) butter,689
parfum/fragrance,681
aqua (water),678
triethoxycaprylylsilane,670
stearic acid,666
ethylhexyl palmitate,662
sodium dehydroacetate,654
octyldodecanol,636
butyl methoxydibenzoylmethane,633
chlorphenesin,630
hexylene glycol,609
lecithin,597
isododecane,591
simmondsia chinensis (jojoba) seed oil,589
propylene glycol,585
polyethylene,579
polysorbate 20,572
boron nitride,569
sodium citrate,545
ethylhexyl methoxycinnamate,538
eugenol,536
octyldodecyl stearoyl stearate,529
lactic acid,528
iron oxides (ci 77491),526
camellia sinensis leaf extract,520
niacinamide,511
cyclopentasiloxane,500
aloe barbadensis leaf juice,500
disteardimonium hectorite,495
lauroyl lysine,488
hydrogenated polyisobutene,487
kaolin,482
linalool.,471
sorbic acid,468
diisostearyl malate,466
ethylhexyl salicylate,455
trimethylsiloxysilicate,452
caffeine,450
hydroxyethylcellulose,441
maltodextrin,439
synthetic wax,437
farnesol,426
polybutene,424
glyceryl caprylate,424
sodium pca,419
rosmarinus officinalis (rosemary) leaf extract,415
nylon-12,412
cocos nucifera (coconut) oil,410
polymethylsilsesquioxane,409
polysorbate 60,408
dipropylene glycol,402
titanium dioxide (ci 77891).,400
acrylates/c10-30 alkyl acrylate crosspolymer,399
sorbitan isostearate,397
propylene carbonate,384
hydroxyacetophenone,382
hydrogenated lecithin,380
butylphenyl methylpropional,379
leuconostoc/radish root ferment filtrate,378
ascorbyl palmitate,372
sodium phytate,370
aluminum hydroxide,367
phenyl trimethicone,365
calcium sodium borosilicate,362
isopropyl alcohol,359
iron oxides (ci 77492),359
yellow 5 lake (ci 19140),350
iron oxides (ci 77499),349
cetrimonium chloride,347
persea gratissima (avocado) oil,341
dimethicone/vinyl dimethicone crosspolymer,339
bis-diglyceryl polyacyladipate-2,336
salicylic acid,326
arginine,326
isoeugenol,325
phenoxyethanol.,325
carmine (ci 75470),324
calcium aluminum borosilicate,324
behentrimonium chloride,324
benzoic acid,323
fragrance/parfum,323
trehalose,322
blue 1 lake (ci 42090),320
acrylates copolymer,320
ultramarines (ci 77007),318
palmitic acid,318
alumina,317
coco-caprylate/caprate,317
allantoin,315
jojoba esters,309
peg-40 hydrogenated castor oil,309
manganese violet (ci 77742),305
tetrasodium edta,304
water (aqua),302
peg-100 stearate,302
betaine,296
red 7 lake (ci 15850),295
dimethiconol,293
trisodium ethylenediamine disuccinate,292
ricinus communis (castor) seed oil,285
cocamidopropyl betaine,285
polysilicone-11,284
ascorbic acid,279
hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer,278
isononyl isononanoate,270
guar hydroxypropyltrimonium chloride,270
dehydroacetic acid,266
ci 77891 (titanium dioxide),264
c12-15 alkyl benzoate,263
glycolic acid,263
aminomethyl propanol,261
isohexadecane,260
stearyl alcohol,258
ci 77499 (iron oxides),258
ci 77491,256
eau),249
adenosine,249
prunus amygdalus dulcis (sweet almond) oil,246
gluconolactone,246
bisabolol,245
zea mays (corn) starch,241
cinnamyl alcohol,240
ceramide np,239
behenyl alcohol,239
amodimethicone,238
decyl glucoside,235
pentaerythrityl tetraisostearate,231
sodium lactate,231
water\aqua\eau,230
methicone,229
hdi/trimethylol hexyllactone crosspolymer,228
potassium hydroxide,224
sorbitol,224
vinyl dimethicone/methicone silsesquioxane crosspolymer,224
silica dimethyl silylate,223
carthamus tinctorius (safflower) seed oil,218
vitis vinifera (grape) seed oil,216
biotin,215
tromethamine,215
polyhydroxystearic acid,214
